Time [s],Channel 0,Channel 1,Channel 2
-0.041117667,0,0,1
-0.000031000,0,0,0
-0.000014333,0,1,0
0.000000000,1,1,0
0.006102500,1,1,1
0.049965583,1,1,0
0.049982167,0,1,0
0.049996500,0,0,0
0.056098583,0,0,1
0.099965167,0,0,0
0.099981833,1,0,0
0.106100917,1,0,1
0.149969167,1,0,0
0.149985750,0,0,0
0.156105667,0,0,1
0.199970667,0,0,0
0.199987417,0,1,0
0.200001750,1,1,0
0.206104000,1,1,1
0.249971000,1,1,0
0.249987583,0,1,0
0.250001917,0,0,0
0.256105083,0,0,1
0.299976083,0,0,0
0.299992750,1,0,0
0.306112667,1,0,1
0.349973083,1,0,0
0.349989667,0,0,0
0.356108333,0,0,1
0.399970333,0,0,0
0.399987083,0,1,0
0.400001417,1,1,0
0.406102917,1,1,1
0.449963750,1,1,0
0.449980333,0,1,0
0.449994667,0,0,0
0.456094833,0,0,1
0.499953333,0,0,0
0.499970000,1,0,0
0.506087917,1,0,1
0.549947333,1,0,0
0.549963917,0,0,0
0.556081500,0,0,1
0.599936833,0,0,0
0.599953583,0,1,0
0.599967917,1,1,0
0.606068500,1,1,1
0.649918750,1,1,0
0.649935333,0,1,0
0.649949667,0,0,0
0.656050583,0,0,1
0.699904167,0,0,0
0.699920833,1,0,0
0.706038083,1,0,1
0.749894500,1,0,0
0.749911083,0,0,0
0.756028167,0,0,1
0.799884083,0,0,0
0.799900833,0,1,0
0.799915167,1,1,0
0.806016500,1,1,1
0.849873750,1,1,0
0.849890333,0,1,0
0.849904667,0,0,0
0.856003750,0,0,1
0.899861083,0,0,0
0.899877750,1,0,0
0.905995667,1,0,1
0.949847083,1,0,0
0.949863583,0,0,0
0.955980167,0,0,1
0.999833250,0,0,0
0.999849917,0,1,0
0.999864250,1,1,0
1.005965000,1,1,1
1.049819917,1,1,0
1.049836500,0,1,0
1.049850833,0,0,0
1.055951167,0,0,1
1.099806417,0,0,0
1.099823083,1,0,0
1.105940250,1,0,1
1.149797583,1,0,0
1.149814167,0,0,0
1.155932167,0,0,1
1.199784833,0,0,0
1.199801500,0,1,0
1.199815833,1,1,0
1.205916667,1,1,1
1.249774750,1,1,0
1.249791333,0,1,0
1.249805667,0,0,0
1.255906417,0,0,1
1.299761500,0,0,0
1.299778083,1,0,0
1.305895167,1,0,1
1.349745500,1,0,0
1.349762083,0,0,0
1.355880000,0,0,1
1.399734833,0,0,0
1.399751583,0,1,0
1.399765917,1,1,0
1.405866333,1,1,1
1.449725250,1,1,0
1.449741833,0,1,0
1.449756167,0,0,0
1.455857500,0,0,1
1.499711000,0,0,0
1.499727667,1,0,0
1.505844083,1,0,1
1.549695083,1,0,0
1.549711667,0,0,0
1.555828583,0,0,1
1.599682250,0,0,0
1.599698917,0,1,0
1.599713250,1,1,0
1.605814500,1,1,1
1.649668667,1,1,0
1.649685250,0,1,0
1.649699500,0,0,0
1.655800000,0,0,1
1.699658167,0,0,0
1.699674750,1,0,0
1.705792167,1,0,1
1.749646333,1,0,0
1.749662917,0,0,0
1.755781000,0,0,1
1.799640333,0,0,0
1.799657083,0,1,0
1.799671417,1,1,0
1.805773750,1,1,1
1.849636667,1,1,0
1.849653250,0,1,0
1.849667583,0,0,0
1.855768917,0,0,1
1.899631917,0,0,0
1.899648583,1,0,0
1.905766500,1,0,1
1.949629167,1,0,0
1.949645750,0,0,0
