Time [s],Channel 0,Channel 1,Channel 2
-0.096288750,1,1,0
-0.090092583,0,1,0
-0.085092917,0,1,1
-0.050006667,0,1,0
-0.049990083,0,0,0
-0.035103833,0,0,1
-0.000016667,0,0,0
0.000000000,1,0,0
0.009888083,0,0,0
0.014886750,0,0,1
0.049972417,0,0,0
0.064879250,0,0,1
0.099975417,0,0,0
0.099992167,0,1,0
0.100006500,1,1,0
0.109878500,0,1,0
0.114877917,0,1,1
0.149970167,0,1,0
0.149986833,0,0,0
0.164874250,0,0,1
0.199963417,0,0,0
0.199980083,1,0,0
0.209867917,0,0,0
0.214867750,0,0,1
0.249954917,0,0,0
0.264862833,0,0,1
0.299949417,0,0,0
0.299966083,0,1,0
0.299980417,1,1,0
0.309851417,0,1,0
0.314850917,0,1,1
0.349942000,0,1,0
0.349958667,0,0,0
0.364845500,0,0,1
0.399931000,0,0,0
0.399947667,1,0,0
0.409834667,0,0,0
0.414833667,0,0,1
0.449918917,0,0,0
0.464823000,0,0,1
0.499909250,0,0,0
0.499925917,0,1,0
0.499940250,1,1,0
0.509811333,0,1,0
0.514810333,0,1,1
0.549896583,0,1,0
0.549913250,0,0,0
0.564799750,0,0,1
0.599887000,0,0,0
0.599903667,1,0,0
0.609791417,0,0,0
0.614790500,0,0,1
0.649877083,0,0,0
0.664785667,0,0,1
0.699875333,0,0,0
0.699892083,0,1,0
0.699906417,1,1,0
0.709776250,0,1,0
0.714775167,0,1,1
0.749862167,0,1,0
0.749878833,0,0,0
0.764765333,0,0,1
0.799855917,0,0,0
0.799872583,1,0,0
0.809760250,0,0,0
0.814758917,0,0,1
0.849841500,0,0,0
0.864746750,0,0,1
0.899836417,0,0,0
0.899853167,0,1,0
0.899867500,1,1,0
0.909736750,0,1,0
0.914735417,0,1,1
0.949819750,0,1,0
0.949836417,0,0,0
0.964723000,0,0,1
0.999806500,0,0,0
0.999823167,1,0,0
1.009708917,0,0,0
1.014708333,0,0,1
1.049788083,0,0,0
1.064694583,0,0,1
1.099784000,0,0,0
1.099800750,0,1,0
1.099815083,1,1,0
1.109686083,0,1,0
1.114685167,0,1,1
1.149770167,0,1,0
1.149786750,0,0,0
1.164671667,0,0,1
1.199756667,0,0,0
1.199773333,1,0,0
1.209659167,0,0,0
1.214657417,0,0,1
1.249739583,0,0,0
1.264644000,0,0,1
1.299735083,0,0,0
1.299751750,0,1,0
1.299766083,1,1,0
1.309639250,0,1,0
1.314639417,0,1,1
1.349728500,0,1,0
1.349745167,0,0,0
1.364633583,0,0,1
1.399724750,0,0,0
1.399741417,1,0,0
1.409629250,0,0,0
1.414628417,0,0,1
1.449712167,0,0,0
1.464620750,0,0,1
1.499712333,0,0,0
1.499729083,0,1,0
1.499743417,1,1,0
1.509613917,0,1,0
1.514613167,0,1,1
1.549701750,0,1,0
1.549718417,0,0,0
1.564606750,0,0,1
1.599696000,0,0,0
1.599712667,1,0,0
1.609600667,0,0,0
1.614600250,0,0,1
1.649690333,0,0,0
1.664597417,0,0,1
1.699689750,0,0,0
1.699706500,0,1,0
1.699720833,1,1,0
1.709592167,0,1,0
1.714592250,0,1,1
1.749679917,0,1,0
1.749696500,0,0,0
1.764582167,0,0,1
1.799669167,0,0,0
1.799685750,1,0,0
1.809572833,0,0,0
1.814572333,0,0,1
1.849655000,0,0,0
1.864561583,0,0,1
1.899645583,0,0,0
1.899662250,0,1,0
1.899676667,1,1,0
1.909548000,0,1,0
1.914547500,0,1,1
1.949636333,0,1,0
1.949653000,0,0,0
1.964538833,0,0,1
1.999626917,0,0,0
1.999643583,1,0,0
2.009529917,0,0,0
2.014529167,0,0,1
2.049610250,0,0,0
2.064516583,0,0,1
2.099607167,0,0,0
2.099623917,0,1,0
2.099638250,1,1,0
2.109510667,0,1,0
2.114510167,0,1,1
2.149598000,0,1,0
2.149614583,0,0,0
2.164500583,0,0,1
2.199587833,0,0,0
2.199604500,1,0,0
2.209492000,0,0,0
2.214491333,0,0,1
2.249577417,0,0,0
2.264484667,0,0,1
2.299573500,0,0,0
2.299590167,0,1,0
2.299604500,1,1,0
2.309474917,0,1,0
2.314474167,0,1,1
2.349562000,0,1,0
2.349578667,0,0,0
2.364464667,0,0,1
2.399554917,0,0,0
2.399571500,1,0,0
2.409459167,0,0,0
2.414458833,0,0,1
2.449546833,0,0,0
2.464454000,0,0,1
2.499546833,0,0,0
2.499563500,0,1,0
2.499577833,1,1,0
2.509451000,0,1,0
2.514451250,0,1,1
2.549546750,0,1,0
2.549563417,0,0,0
2.564453417,0,0,1
2.599547750,0,0,0
2.599564333,1,0,0
2.609452667,0,0,0
2.614452833,0,0,1
2.649545917,0,0,0
2.664455250,0,0,1
2.699549500,0,0,0
2.699566250,0,1,0
2.699580583,1,1,0
2.709452333,0,1,0
2.714451667,0,1,1
2.749544667,0,1,0
2.749561333,0,0,0
2.764452000,0,0,1
2.799546750,0,0,0
2.799563333,1,0,0
2.809454083,0,0,0
2.814454333,0,0,1
2.849545583,0,0,0
2.864454083,0,0,1
2.899551000,0,0,0
2.899567750,0,1,0
2.899582083,1,1,0
2.909456083,0,1,0
2.914456667,0,1,1
2.949553333,0,1,0
2.949570000,0,0,0
2.964457833,0,0,1
2.999550500,0,0,0
2.999567167,1,0,0
3.009455417,0,0,0
3.014455583,0,0,1
3.049546167,0,0,0
3.064454917,0,0,1
3.099549750,0,0,0
3.099566500,0,1,0
3.099580833,1,1,0
3.109453000,0,1,0
3.114454000,0,1,1
3.149543917,0,1,0
3.149560583,0,0,0
3.164448583,0,0,1
3.199541833,0,0,0
3.199558417,1,0,0
3.209447583,0,0,0
3.214447667,0,0,1
3.249538833,0,0,0
3.264447083,0,0,1
3.299539917,0,0,0
3.299556667,0,1,0
3.299571000,1,1,0
3.309444583,0,1,0
3.314444000,0,1,1
3.349535333,0,1,0
3.349552000,0,0,0
3.364440000,0,0,1
3.399532833,0,0,0
3.399549500,1,0,0
3.409437917,0,0,0
3.414437583,0,0,1
3.449524917,0,0,0
3.464433750,0,0,1
3.499528500,0,0,0
3.499545250,0,1,0
3.499559583,1,1,0
3.509433750,0,1,0
3.514434250,0,1,1
3.549527333,0,1,0
3.549544000,0,0,0
3.564429500,0,0,1
3.599517083,0,0,0
3.599533750,1,0,0
3.609422583,0,0,0
3.614422417,0,0,1
3.649508333,0,0,0
3.664415167,0,0,1
3.699506500,0,0,0
3.699523250,0,1,0
3.699537583,1,1,0
3.709408750,0,1,0
3.714408667,0,1,1
3.749496167,0,1,0
3.749512833,0,0,0
3.764399250,0,0,1
3.799486500,0,0,0
3.799503167,1,0,0
3.809390583,0,0,0
3.814389417,0,0,1
3.849472333,0,0,0
3.864377833,0,0,1
3.899467500,0,0,0
3.899484250,0,1,0
3.899498583,1,1,0
3.909369833,0,1,0
3.914369250,0,1,1
3.949455500,0,1,0
3.949472167,0,0,0
3.964359667,0,0,1
3.999445917,0,0,0
3.999462583,1,0,0
4.009349417,0,0,0
4.014349250,0,0,1
4.049435833,0,0,0
4.064343083,0,0,1
4.099433500,0,0,0
4.099450250,0,1,0
4.099464583,1,1,0
4.109337000,0,1,0
4.114336250,0,1,1
4.149420583,0,1,0
4.149437250,0,0,0
4.164324083,0,0,1
4.199410750,0,0,0
4.199427417,1,0,0
4.209314583,0,0,0
4.214314417,0,0,1
4.249400083,0,0,0
4.264306583,0,0,1
4.299400250,0,0,0
4.299416917,0,1,0
4.299431250,1,1,0
4.309302167,0,1,0
4.314301833,0,1,1
4.349390917,0,1,0
4.349407583,0,0,0
4.364297500,0,0,1
4.399384000,0,0,0
4.399400667,1,0,0
4.409288000,0,0,0
4.414288167,0,0,1
4.449373500,0,0,0
4.464281833,0,0,1
4.499372917,0,0,0
4.499389583,0,1,0
4.499403917,1,1,0
4.509275750,0,1,0
4.514275167,0,1,1
4.549363167,0,1,0
4.549379750,0,0,0
4.564266250,0,0,1
4.599355083,0,0,0
4.599371750,1,0,0
4.609260333,0,0,0
4.614260167,0,0,1
4.649349667,0,0,0
4.664257250,0,0,1
4.699353833,0,0,0
4.699370500,0,1,0
4.699384833,1,1,0
4.709256333,0,1,0
4.714256667,0,1,1
4.749353333,0,1,0
4.749370000,0,0,0
4.764258083,0,0,1
4.799349000,0,0,0
4.799365667,1,0,0
4.809255750,0,0,0
4.814255667,0,0,1
4.849344250,0,0,0
4.864253250,0,0,1
4.899340083,0,0,0
4.899356750,0,1,0
4.899371083,1,1,0
4.909241500,0,1,0
4.914240667,0,1,1
4.949332083,0,1,0
4.949348750,0,0,0
4.964236250,0,0,1
4.999329417,0,0,0
4.999346083,1,0,0
5.009234917,0,0,0
5.014235167,0,0,1
5.049320417,0,0,0
5.064226833,0,0,1
5.099320417,0,0,0
5.099337167,0,1,0
5.099351500,1,1,0
5.109224667,0,1,0
5.114225083,0,1,1
5.149316833,0,1,0
5.149333417,0,0,0
