Time [s],Channel 0,Channel 1,Channel 2
-0.047452083,0,0,0
-0.017562750,0,0,1
-0.000016667,0,0,0
-0.000000000,1,0,0
0.009434250,0,0,0
0.032429833,0,0,1
0.049972083,0,0,0
0.082423167,0,0,1
0.099971417,0,0,0
0.099988167,0,1,0
0.100002333,1,1,0
0.109419500,0,1,0
0.119418000,0,0,0
0.132415583,0,0,1
0.149956167,0,0,0
0.182404667,0,0,1
0.199949083,0,0,0
0.199965750,1,0,0
0.209398333,0,0,0
0.232393667,0,0,1
0.249936000,0,0,0
0.282388083,0,0,1
0.299934167,0,0,0
0.299950917,0,1,0
0.299965083,1,1,0
0.309382500,0,1,0
0.319381500,0,0,0
0.332379167,0,0,1
0.349919250,0,0,0
0.382368333,0,0,1
0.399913500,0,0,0
0.399930167,1,0,0
0.409363250,0,0,0
0.432358500,0,0,1
0.449901000,0,0,0
0.482349250,0,0,1
0.499895167,0,0,0
0.499911917,0,1,0
0.499926083,1,1,0
0.509343167,0,1,0
0.519341083,0,0,0
0.532337833,0,0,1
0.549880167,0,0,0
0.582329250,0,0,1
0.599870917,0,0,0
0.599887583,1,0,0
0.609320417,0,0,0
0.632317583,0,0,1
0.649862083,0,0,0
0.682317667,0,0,1
0.699868250,0,0,0
0.699885000,0,1,0
0.699899167,1,1,0
0.709317250,0,1,0
0.719318500,0,0,0
0.732320500,0,0,1
0.749866833,0,0,0
0.782322750,0,0,1
0.799869583,0,0,0
0.799886250,1,0,0
0.809321250,0,0,0
0.832321833,0,0,1
0.849867833,0,0,0
0.882326250,0,0,1
0.899878083,0,0,0
0.899894750,0,1,0
0.899908917,1,1,0
0.909327833,0,1,0
0.919326917,0,0,0
0.932326083,0,0,1
0.949868167,0,0,0
0.982319500,0,0,1
0.999867333,0,0,0
0.999884000,1,0,0
1.009318583,0,0,0
1.032320583,0,0,1
1.049862417,0,0,0
1.082312583,0,0,1
1.099860167,0,0,0
1.099876917,0,1,0
1.099891083,1,1,0
1.109307500,0,1,0
1.119306417,0,0,0
1.132303917,0,0,1
1.149847250,0,0,0
1.182300083,0,0,1
1.199846667,0,0,0
1.199863333,1,0,0
1.209296750,0,0,0
1.232295083,0,0,1
1.249838000,0,0,0
1.282289167,0,0,1
1.299837917,0,0,0
1.299854667,0,1,0
1.299868833,1,1,0
1.309287083,0,1,0
1.319287333,0,0,0
1.332288667,0,0,1
1.349835167,0,0,0
1.382291000,0,0,1
1.399837250,0,0,0
1.399853833,1,0,0
1.409287417,0,0,0
1.432285917,0,0,1
1.449831250,0,0,0
1.482286667,0,0,1
1.499835000,0,0,0
1.499851667,0,1,0
1.499865833,1,1,0
1.509283250,0,1,0
1.519282250,0,0,0
1.532281500,0,0,1
1.549825083,0,0,0
1.582278500,0,0,1
1.599825250,0,0,0
1.599841917,1,0,0
1.609276750,0,0,0
1.632277667,0,0,1
1.649821250,0,0,0
1.682276833,0,0,1
1.699828500,0,0,0
1.699845167,0,1,0
1.699859333,1,1,0
1.709278250,0,1,0
1.719279250,0,0,0
1.732277667,0,0,1
1.749823250,0,0,0
1.782274417,0,0,1
1.799823000,0,0,0
1.799839667,1,0,0
1.809274917,0,0,0
1.832276667,0,0,1
1.849822417,0,0,0
1.882275167,0,0,1
1.899823667,0,0,0
1.899840333,0,1,0
1.899854500,1,1,0
1.909271417,0,1,0
1.919269750,0,0,0
1.932269667,0,0,1
1.949815333,0,0,0
1.982269083,0,0,1
1.999817750,0,0,0
1.999834417,1,0,0
2.009270250,0,0,0
2.032269417,0,0,1
2.049813417,0,0,0
2.082266667,0,0,1
2.099815333,0,0,0
2.099832000,0,1,0
2.099846167,1,1,0
2.109264000,0,1,0
2.119264083,0,0,0
2.132264500,0,0,1
2.149810417,0,0,0
2.182264000,0,0,1
2.199811583,0,0,0
2.199828250,1,0,0
2.209263000,0,0,0
2.232259583,0,0,1
2.249802833,0,0,0
2.282254917,0,0,1
2.299803083,0,0,0
2.299819833,0,1,0
2.299834000,1,1,0
2.309252750,0,1,0
2.319251917,0,0,0
2.332251000,0,0,1
2.349796167,0,0,0
2.382251750,0,0,1
2.399799917,0,0,0
2.399816583,1,0,0
2.409251000,0,0,0
2.432248500,0,0,1
2.449791000,0,0,0
2.482243083,0,0,1
2.499793583,0,0,0
2.499810250,0,1,0
2.499824417,1,1,0
2.509242833,0,1,0
2.519242500,0,0,0
2.532242750,0,0,1
2.549785333,0,0,0
2.582233583,0,0,1
2.599780667,0,0,0
2.599797333,1,0,0
2.609230667,0,0,0
2.632228583,0,0,1
2.649774500,0,0,0
2.682230667,0,0,1
2.699778667,0,0,0
2.699795333,0,1,0
2.699809500,1,1,0
2.709226833,0,1,0
2.719226750,0,0,0
2.732226083,0,0,1
2.749768417,0,0,0
2.782217667,0,0,1
2.799761667,0,0,0
2.799778250,1,0,0
2.809211917,0,0,0
2.832208917,0,0,1
2.849750917,0,0,0
2.882198417,0,0,1
2.899744667,0,0,0
2.899761417,0,1,0
2.899775583,1,1,0
2.909191667,0,1,0
2.919190917,0,0,0
2.932189250,0,0,1
2.949731000,0,0,0
2.982178833,0,0,1
2.999726500,0,0,0
2.999743167,1,0,0
3.009176167,0,0,0
3.032177167,0,0,1
3.049722333,0,0,0
3.082173833,0,0,1
3.099723750,0,0,0
3.099740500,0,1,0
3.099754667,1,1,0
3.109173917,0,1,0
3.119175083,0,0,0
3.132174667,0,0,1
3.149719917,0,0,0
3.182175750,0,0,1
3.199725083,0,0,0
3.199741750,1,0,0
3.209177417,0,0,0
3.232177250,0,0,1
3.249722417,0,0,0
3.282182583,0,0,1
3.299736417,0,0,0
3.299753167,0,1,0
3.299767333,1,1,0
3.309187167,0,1,0
3.319189833,0,0,0
3.332193333,0,0,1
3.349740250,0,0,0
3.382195833,0,0,1
3.399741250,0,0,0
3.399757917,1,0,0
3.409191500,0,0,0
3.432194083,0,0,1
3.449738250,0,0,0
3.482190167,0,0,1
3.499738333,0,0,0
3.499755000,0,1,0
3.499769167,1,1,0
3.509186333,0,1,0
3.519185500,0,0,0
3.532184167,0,0,1
3.549728833,0,0,0
3.582187167,0,0,1
3.599734917,0,0,0
3.599751583,1,0,0
3.609186667,0,0,0
3.632186333,0,0,1
3.649731500,0,0,0
3.682186250,0,0,1
3.699735083,0,0,0
3.699751750,0,1,0
3.699766000,1,1,0
