Time [s],Channel 0,Channel 1,Channel 2
-0.002568083,0,0,1
-0.000030917,0,0,0
-0.000014167,0,1,0
-0.000000000,1,1,0
0.009644500,0,1,0
0.019642250,0,0,0
0.023641083,0,0,1
0.049953083,0,0,0
0.073630250,0,0,1
0.099947917,0,0,0
0.099964583,1,0,0
0.109625417,0,0,0
0.123623250,0,0,1
0.149936417,0,0,0
0.173612750,0,0,1
0.199929333,0,0,0
0.199946000,0,1,0
0.199960167,1,1,0
0.209605583,0,1,0
0.219604250,0,0,0
0.223603500,0,0,1
0.249913000,0,0,0
0.273590917,0,0,1
0.299905583,0,0,0
0.299922250,1,0,0
0.309582417,0,0,0
0.323581750,0,0,1
0.349896417,0,0,0
0.373574500,0,0,1
0.399897667,0,0,0
0.399914333,0,1,0
0.399928583,1,1,0
0.409574833,0,1,0
0.419574417,0,0,0
0.423574833,0,0,1
0.449891333,0,0,0
0.473571250,0,0,1
0.499888417,0,0,0
0.499905083,1,0,0
0.509566417,0,0,0
0.523564333,0,0,1
0.549878083,0,0,0
0.573557333,0,0,1
0.599878583,0,0,0
0.599895250,0,1,0
0.599909417,1,1,0
0.609553750,0,1,0
0.619552750,0,0,0
0.623552333,0,0,1
0.649866917,0,0,0
0.673548167,0,0,1
0.699868000,0,0,0
0.699884667,1,0,0
0.709545917,0,0,0
0.723544500,0,0,1
0.749859583,0,0,0
0.773537417,0,0,1
0.799862667,0,0,0
0.799879417,0,1,0
0.799893583,1,1,0
0.809539000,0,1,0
0.819538333,0,0,0
0.823538500,0,0,1
0.849854583,0,0,0
0.873532250,0,0,1
0.899850167,0,0,0
0.899866833,1,0,0
0.909526917,0,0,0
0.923525500,0,0,1
0.949840583,0,0,0
0.973518333,0,0,1
0.999838000,0,0,0
0.999854750,0,1,0
0.999868917,1,1,0
1.009513417,0,1,0
1.019512000,0,0,0
1.023511917,0,0,1
1.049831500,0,0,0
1.073510667,0,0,1
1.099829250,0,0,0
1.099845917,1,0,0
1.109507500,0,0,0
1.123506417,0,0,1
1.149822500,0,0,0
1.173506583,0,0,1
1.199828833,0,0,0
1.199845500,0,1,0
1.199859667,1,1,0
1.209504167,0,1,0
1.219502417,0,0,0
1.223502083,0,0,1
1.249815667,0,0,0
1.273496667,0,0,1
1.299816417,0,0,0
1.299833000,1,0,0
1.309495000,0,0,0
1.323494333,0,0,1
1.349812250,0,0,0
1.373491750,0,0,1
1.399812750,0,0,0
1.399829500,0,1,0
1.399843667,1,1,0
1.409488083,0,1,0
1.419487667,0,0,0
1.423487333,0,0,1
1.449802833,0,0,0
1.473483500,0,0,1
1.499799167,0,0,0
1.499815833,1,0,0
1.509476833,0,0,0
1.523474417,0,0,1
1.549786333,0,0,0
1.573466750,0,0,1
1.599781750,0,0,0
1.599798417,0,1,0
1.599812583,1,1,0
1.609455500,0,1,0
1.619456000,0,0,0
1.623456000,0,0,1
1.649770583,0,0,0
1.673448000,0,0,1
1.699764417,0,0,0
1.699781083,1,0,0
1.709443083,0,0,0
1.723444333,0,0,1
1.749759583,0,0,0
1.773439750,0,0,1
1.799760500,0,0,0
1.799777250,0,1,0
1.799791417,1,1,0
1.809436333,0,1,0
1.819436500,0,0,0
1.823437083,0,0,1
1.849752917,0,0,0
1.873433667,0,0,1
1.899756833,0,0,0
1.899773500,1,0,0
1.909436167,0,0,0
1.923436417,0,0,1
1.949751250,0,0,0
1.973433417,0,0,1
1.999755167,0,0,0
1.999771833,0,1,0
1.999786000,1,1,0
2.009431417,0,1,0
2.019431833,0,0,0
2.023432083,0,0,1
2.049751000,0,0,0
2.073434833,0,0,1
2.099756417,0,0,0
2.099773083,1,0,0
2.109434417,0,0,0
2.123433917,0,0,1
2.149748667,0,0,0
2.173427500,0,0,1
2.199750083,0,0,0
2.199766833,0,1,0
2.199781000,1,1,0
2.209426250,0,1,0
2.219426750,0,0,0
2.223427417,0,0,1
2.249746500,0,0,0
2.273428500,0,0,1
2.299749667,0,0,0
2.299766333,1,0,0
2.309427833,0,0,0
2.323427667,0,0,1
2.349745000,0,0,0
2.373425417,0,0,1
2.399751917,0,0,0
2.399768583,0,1,0
2.399782833,1,1,0
2.409428000,0,1,0
2.419428583,0,0,0
2.423428500,0,0,1
2.449743500,0,0,0
2.473418583,0,0,1
2.499736000,0,0,0
2.499752667,1,0,0
2.509413667,0,0,0
2.523413917,0,0,1
2.549729167,0,0,0
2.573405750,0,0,1
2.599719917,0,0,0
2.599736583,0,1,0
2.599750750,1,1,0
2.609395000,0,1,0
2.619391750,0,0,0
2.623390583,0,0,1
2.649702417,0,0,0
2.673380667,0,0,1
2.699695500,0,0,0
2.699712167,1,0,0
2.709373333,0,0,0
2.723372500,0,0,1
2.749688833,0,0,0
2.773369500,0,0,1
2.799690167,0,0,0
2.799706917,0,1,0
2.799721083,1,1,0
2.809366417,0,1,0
2.819363750,0,0,0
2.823362083,0,0,1
2.849677500,0,0,0
2.873353333,0,0,1
2.899669250,0,0,0
2.899685917,1,0,0
2.909345333,0,0,0
2.923343583,0,0,1
2.949656667,0,0,0
2.973334917,0,0,1
2.999654583,0,0,0
2.999671333,0,1,0
2.999685500,1,1,0
3.009330083,0,1,0
3.019328667,0,0,0
3.023328833,0,0,1
3.049644250,0,0,0
3.073323583,0,0,1
3.099641583,0,0,0
3.099658167,1,0,0
3.109318333,0,0,0
3.123315333,0,0,1
3.149632833,0,0,0
3.173316250,0,0,1
3.199638167,0,0,0
3.199654833,0,1,0
3.199669000,1,1,0
3.209314583,0,1,0
3.219315417,0,0,0
3.223315750,0,0,1
3.249630500,0,0,0
3.273310917,0,0,1
3.299630083,0,0,0
3.299646750,1,0,0
3.309307417,0,0,0
3.323307000,0,0,1
3.349623167,0,0,0
3.373303750,0,0,1
3.399627000,0,0,0
3.399643750,0,1,0
